id,datetime,location,type,trigger,size,lon,lat
8321,9/21/15 0:00,"Birken, BC, Canada",landslide,downpour,medium,-122.6205,50.479
7757,12/7/15 18:00,Edmonds,mudslide,rain,medium,-122.3746,47.7339
8596,10/4/15 23:00,"Between 3rd and 7th Ave, Coast Highway, Laguna Beach",mudslide,rain,medium,-117.7431,33.5006
7762,12/9/15 15:00,Woodland,mudslide,rain,medium,-122.7759,45.942
8678,10/8/15 0:00,between Fort Davis and Fort Davis State Park,rock_fall,flooding,medium,-103.911,30.6025
9013,12/9/15 0:00,I-5 near Portland border,rock_fall,flooding,medium,-122.6573,45.7326
9123,12/27/15 0:00,Highway 10 near Peyton���s Place,rock_fall,downpour,medium,-94.9213,36.0281
7753,11/16/15 0:00,Washougal : 50-mile (80-km) stretch of Interstate 84 that authorities declared impassible into midday Wednesday.,mudslide,rain,large,-122.1529,45.5737
9049,12/9/15 0:00,I-90 just west of the pass,landslide,snowfall_snowmelt,medium,-121.6707,47.4427
8337,9/20/15 0:00,"Birken in Squamish-Lillooet, BC, Canada",debris_flow,downpour,medium,-122.7105,50.4729
8021,9/8/15 11:45,"Zoo Fwy, Wisconsin",mudslide,rain,medium,-88.0271,43.024
8115,9/11/15 0:00,"Dry Straits Road, Alaska",rock_fall,rain,medium,-132.6394,56.6215
7755,11/17/15 0:00,Skykomish,mudslide,rain,medium,-121.225,47.717
9014,12/9/15 0:00,SR 2 just west of Leavenworth,mudslide,flooding,medium,-120.6271,47.5881
8728,10/11/15 0:00,Broadmoor Bluffs neighborhood,landslide,rain,large,-104.8318,38.7612
7760,12/8/15 23:00,Burien,landslide,rain,medium,-122.3633,47.488
7392,12/13/15 19:45,Interstate 5 in the Fort Tejon area,mudslide,downpour,medium,-118.8962,34.8813
8992,12/7/15 0:00,Northwest Cornelius Pass,landslide,flooding,medium,-122.875,45.5803
9009,12/8/15 15:00,Highway 2 west of Stevens Pass,mudslide,downpour,medium,-121.0968,47.7471
9118,12/24/15 15:00,Highway 42 near the border of Coos and Douglas counties,landslide,rain,medium,-123.8241,42.9646
8123,9/15/15 15:30,"American Fork Canyon, State Route 92 and SR 144 intersection off the Alpine Loop",mudslide,downpour,medium,-111.662,40.4537
